model_name,ticker,date,close,buy_1_price,buy_2_price,stop_loss_pct,target_price,basis_buy_1,basis_buy_2,basis_target
price_model_2,AMZN,2026-09-11 00:00:00-04:00,256.7799987792969,255.25,226.65,-0.05,293.54,50일 이동평균,60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%)
price_model_2,NVDA,2026-09-11 00:00:00-04:00,218.2899932861328,212.36,189.8,-0.05,244.21,50일 이동평균,60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%)
price_model_2,META,2026-09-11 00:00:00-04:00,648.030029296875,600.9,517.78,-0.05,691.04,50일 이동평균,볼린저 하단(20일),손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%)
price_model_2,TSLA,2026-09-11 00:00:00-04:00,365.4400024414063,354.5,298.32,-0.05,407.67,50일 이동평균,60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%)
price_model_2,AAPL,2026-09-11 00:00:00-04:00,332.2699890136719,317.83,274.91,-0.05,365.5,50일 이동평균,60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%)
price_model_2,MSFT,2026-09-11 00:00:00-04:00,495.6300048828125,474.38,352.17,-0.05,545.53,볼린저 하단(20일),60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%)
price_model_2,GOOGL,2026-09-11 00:00:00-04:00,338.5,331.37,317.49,-0.05,381.07,볼린저 하단(20일),60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%)
price_model_2,AMZN,2026-09-11 00:00:00-04:00,256.7799987792969,255.25,226.65,-0.05,293.54,50일 이동평균,60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%)
price_model_2,NVDA,2026-09-11 00:00:00-04:00,218.2899932861328,212.36,189.8,-0.05,244.21,50일 이동평균,60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%)
price_model_2,META,2026-09-11 00:00:00-04:00,648.030029296875,600.9,517.78,-0.05,691.04,50일 이동평균,볼린저 하단(20일),손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%)
price_model_2,TSLA,2026-09-11 00:00:00-04:00,365.4400024414063,354.5,298.32,-0.05,407.67,50일 이동평균,60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%)
